PartitionKey,RowKey,Vallokal_namn,Adress,Postnr,Postort,Latitud,Longitud,Dag01,Dag02,Dag03,Dag04,Dag05,Dag06,Dag07,Dag08,Dag09,Dag10,Dag11,Dag12,Dag13,Dag14,Dag15,Dag16,Dag17,Dag18,Dag19,Adress_geo
1,14700,Tullmuseet,Alströmergatan 39 ög,112 98,Stockholm,59.3361141,18.0285795,2018-08-27T11:00:00/2018-08-27T18:00:00,2018-08-28T11:00:00/2018-08-28T18:00:00,2018-08-29T11:00:00/2018-08-29T18:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T11:00:00/2018-08-31T16:00:00,2018-09-01T11:00:00/2018-09-01T18:00:00,2018-09-02T11:00:00/2018-09-02T18:00:00,2018-09-03T11:00:00/2018-09-03T18:00:00,2018-09-04T11:00:00/2018-09-04T18:00:00,2018-09-05T11:00:00/2018-09-05T18:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T11:00:00/2018-09-07T16:00:00,2018-09-08T11:00:00/2018-09-08T18:00:00,2018-09-09T11:00:00/2018-09-09T18:00:00,2018-09-10T11:00:00/2018-09-10T18:00:00,2018-09-11T11:00:00/2018-09-11T18:00:00,2018-09-12T11:00:00/2018-09-12T18:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Alströmergatan 39
1,14702,Spånga-Tensta medborgarkontor,Tenstagången 49,163 04,Spånga,59.39427,17.902055,2018-08-27T10:00:00/2018-08-27T16:00:00,2018-08-28T10:00:00/2018-08-28T17:00:00,2018-08-29T10:00:00/2018-08-29T12:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T10:00:00/2018-09-01T16:00:00,2018-09-02T10:00:00/2018-09-02T16:00:00,2018-09-03T10:00:00/2018-09-03T16:00:00,2018-09-04T10:00:00/2018-09-04T17:00:00,2018-09-05T10:00:00/2018-09-05T12:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T10:00:00/2018-09-08T16:00:00,2018-09-09T10:00:00/2018-09-09T16:00:00,2018-09-10T10:00:00/2018-09-10T16:00:00,2018-09-11T10:00:00/2018-09-11T17:00:00,2018-09-12T10:00:00/2018-09-12T12:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Tenstagången 49
1,14703,Liljeholmstorgets Galleria,Liljeholmstorget 3,117 63,Hägersten,59.3097933,18.0232631,2018-08-27T10:00:00/2018-08-27T20:00:00,2018-08-28T10:00:00/2018-08-28T20:00:00,2018-08-29T10:00:00/2018-08-29T20:00:00,2018-08-30T10:00:00/2018-08-30T18:00:00,2018-08-31T10:00:00/2018-08-31T18:00:00,2018-09-01T10:00:00/2018-09-01T20:00:00,2018-09-02T10:00:00/2018-09-02T20:00:00,2018-09-03T10:00:00/2018-09-03T20:00:00,2018-09-04T10:00:00/2018-09-04T20:00:00,2018-09-05T10:00:00/2018-09-05T20:00:00,2018-09-06T10:00:00/2018-09-06T18:00:00,2018-09-07T10:00:00/2018-09-07T18:00:00,2018-09-08T10:00:00/2018-09-08T20:00:00,2018-09-09T10:00:00/2018-09-09T20:00:00,2018-09-10T10:00:00/2018-09-10T20:00:00,2018-09-11T10:00:00/2018-09-11T20:00:00,2018-09-12T10:00:00/2018-09-12T20:00:00,2018-09-13T10:00:00/2018-09-13T18:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Liljeholmstorget 3
1,14704,Konradsbergshallen,Konradsbergsgatan 2 b,112 59,Stockholm,59.3288043,18.0145388,2018-08-27T11:00:00/2018-08-27T17:00:00,2018-08-28T11:00:00/2018-08-28T17:00:00,2018-08-29T11:00:00/2018-08-29T17:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T11:00:00/2018-09-01T17:00:00,2018-09-02T11:00:00/2018-09-02T17:00:00,2018-09-03T11:00:00/2018-09-03T17:00:00,2018-09-04T11:00:00/2018-09-04T17:00:00,2018-09-05T11:00:00/2018-09-05T17:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T11:00:00/2018-09-08T17:00:00,2018-09-09T11:00:00/2018-09-09T17:00:00,2018-09-10T11:00:00/2018-09-10T17:00:00,2018-09-11T11:00:00/2018-09-11T17:00:00,2018-09-12T11:00:00/2018-09-12T17:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Konradsbergsgatan 2 b
1,14705,"Generatorn, Telefonplan",Telefonvägen 30,126 26,Hägersten,59.2980223,17.9914899,2018-08-27T08:00:00/2018-08-27T17:00:00,2018-08-28T08:00:00/2018-08-28T17:00:00,2018-08-29T08:00:00/2018-08-29T17:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T08:00:00/2018-09-01T17:00:00,2018-09-02T08:00:00/2018-09-02T17:00:00,2018-09-03T08:00:00/2018-09-03T17:00:00,2018-09-04T08:00:00/2018-09-04T17:00:00,2018-09-05T08:00:00/2018-09-05T17:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T08:00:00/2018-09-08T17:00:00,2018-09-09T08:00:00/2018-09-09T17:00:00,2018-09-10T08:00:00/2018-09-10T17:00:00,2018-09-11T08:00:00/2018-09-11T17:00:00,2018-09-12T08:00:00/2018-09-12T17:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Telefonvägen 30
1,14707,Eriksdalsbadet,Hammarby Slussväg 20,118 60,Stockholm,59.3051366,18.0747794,2018-08-27T10:00:00/2018-08-27T19:00:00,2018-08-28T10:00:00/2018-08-28T19:00:00,2018-08-29T10:00:00/2018-08-29T19:00:00,2018-08-30T11:00:00/2018-08-30T17:00:00,2018-08-31T11:00:00/2018-08-31T17:00:00,2018-09-01T10:00:00/2018-09-01T19:00:00,2018-09-02T10:00:00/2018-09-02T19:00:00,2018-09-03T10:00:00/2018-09-03T19:00:00,2018-09-04T10:00:00/2018-09-04T19:00:00,2018-09-05T10:00:00/2018-09-05T19:00:00,2018-09-06T11:00:00/2018-09-06T17:00:00,2018-09-07T11:00:00/2018-09-07T17:00:00,2018-09-08T10:00:00/2018-09-08T19:00:00,2018-09-09T10:00:00/2018-09-09T19:00:00,2018-09-10T10:00:00/2018-09-10T19:00:00,2018-09-11T10:00:00/2018-09-11T19:00:00,2018-09-12T10:00:00/2018-09-12T19:00:00,2018-09-13T11:00:00/2018-09-13T17:00:00,2018-09-14T11:00:00/2018-09-14T17:00:00,Hammarby Slussväg 20
1,14710,"Garnisionens, Karlavägen 100",Karlavägen 100,104 51,Stockholm,59.3361619,18.0963685,2018-08-27T08:00:00/2018-08-27T18:00:00,2018-08-28T08:00:00/2018-08-28T18:00:00,2018-08-29T08:00:00/2018-08-29T18:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T08:00:00/2018-09-01T18:00:00,2018-09-02T08:00:00/2018-09-02T18:00:00,2018-09-03T08:00:00/2018-09-03T18:00:00,2018-09-04T08:00:00/2018-09-04T18:00:00,2018-09-05T08:00:00/2018-09-05T18:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T08:00:00/2018-09-08T18:00:00,2018-09-09T08:00:00/2018-09-09T18:00:00,2018-09-10T08:00:00/2018-09-10T18:00:00,2018-09-11T08:00:00/2018-09-11T18:00:00,2018-09-12T08:00:00/2018-09-12T18:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Karlavägen 100
1,14712,Birkagården,Karlbergsvägen 86 b,113 35,Stockholm,59.3434302,18.0279369,2018-08-27T11:00:00/2018-08-27T18:00:00,2018-08-28T11:00:00/2018-08-28T18:00:00,2018-08-29T11:00:00/2018-08-29T18:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T11:00:00/2018-09-01T18:00:00,2018-09-02T11:00:00/2018-09-02T18:00:00,2018-09-03T11:00:00/2018-09-03T18:00:00,2018-09-04T11:00:00/2018-09-04T18:00:00,2018-09-05T11:00:00/2018-09-05T18:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T11:00:00/2018-09-08T18:00:00,2018-09-09T11:00:00/2018-09-09T18:00:00,2018-09-10T11:00:00/2018-09-10T18:00:00,2018-09-11T11:00:00/2018-09-11T18:00:00,2018-09-12T11:00:00/2018-09-12T18:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Karlbergsvägen 86 b
1,14713,Stureby vård- och omsorgsboende,Tussmötevägen 175,122 86,Enskede,59.2777063,18.0655392,2018-08-27T10:00:00/2018-08-27T07:00:00,2018-08-28T10:00:00/2018-08-28T16:00:00,2018-08-29T10:00:00/2018-08-29T16:00:00,2018-08-30T00:00:00/2018-08-30T00:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T10:00:00/2018-09-01T16:00:00,2018-09-02T10:00:00/2018-09-02T16:00:00,2018-09-03T10:00:00/2018-09-03T07:00:00,2018-09-04T10:00:00/2018-09-04T16:00:00,2018-09-05T10:00:00/2018-09-05T16:00:00,2018-09-06T00:00:00/2018-09-06T00:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T10:00:00/2018-09-08T16:00:00,2018-09-09T10:00:00/2018-09-09T16:00:00,2018-09-10T10:00:00/2018-09-10T07:00:00,2018-09-11T10:00:00/2018-09-11T16:00:00,2018-09-12T10:00:00/2018-09-12T16:00:00,2018-09-13T00:00:00/2018-09-13T00:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Tussmötevägen 175
1,14715,Hässelby Gårds Bibbleria,"Hässelby Torg 10, 1 tr",165 55,Hässelby,59.3675955,17.8433321,2018-08-27T10:00:00/2018-08-27T17:00:00,2018-08-28T10:00:00/2018-08-28T17:00:00,2018-08-29T00:00:00/2018-08-29T00:00:00,2018-08-30T12:00:00/2018-08-30T16:00:00,2018-08-31T00:00:00/2018-08-31T00:00:00,2018-09-01T12:00:00/2018-09-01T19:00:00,2018-09-02T12:00:00/2018-09-02T19:00:00,2018-09-03T10:00:00/2018-09-03T17:00:00,2018-09-04T10:00:00/2018-09-04T17:00:00,2018-09-05T00:00:00/2018-09-05T00:00:00,2018-09-06T12:00:00/2018-09-06T16:00:00,2018-09-07T00:00:00/2018-09-07T00:00:00,2018-09-08T12:00:00/2018-09-08T19:00:00,2018-09-09T12:00:00/2018-09-09T19:00:00,2018-09-10T10:00:00/2018-09-10T17:00:00,2018-09-11T10:00:00/2018-09-11T17:00:00,2018-09-12T00:00:00/2018-09-12T00:00:00,2018-09-13T12:00:00/2018-09-13T16:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Hässelby Torg 10
7,7908,Kista bibliotek,"Kista Galleria, entré C",164 42,Kista,59.4023097,17.9457338,2018-08-27T10:00:00/2018-08-27T21:00:00,2018-08-28T10:00:00/2018-08-28T21:00:00,2018-08-29T10:00:00/2018-08-29T21:00:00,2018-08-30T10:00:00/2018-08-30T21:00:00,2018-08-31T10:00:00/2018-08-31T21:00:00,2018-09-01T10:00:00/2018-09-01T21:00:00,2018-09-02T10:00:00/2018-09-02T21:00:00,2018-09-03T10:00:00/2018-09-03T21:00:00,2018-09-04T10:00:00/2018-09-04T21:00:00,2018-09-05T10:00:00/2018-09-05T21:00:00,2018-09-06T10:00:00/2018-09-06T21:00:00,2018-09-07T10:00:00/2018-09-07T21:00:00,2018-09-08T10:00:00/2018-09-08T21:00:00,2018-09-09T10:00:00/2018-09-09T21:00:00,2018-09-10T10:00:00/2018-09-10T21:00:00,2018-09-11T10:00:00/2018-09-11T21:00:00,2018-09-12T10:00:00/2018-09-12T21:00:00,2018-09-13T10:00:00/2018-09-13T21:00:00,2018-09-14T00:00:00/2018-09-14T00:00:00,Kista Galleria
